model,test_cross_entropy,test_perplexity,test_bits_per_character,test_accuracy,parameter_count,checkpoint_size_bytes,training_time_seconds,tokens_per_second
bigram,3.9271950170955554,50.764384546251165,5.665744775767606,0.06201894674068129,4096,52543,0.8334759999997914,1842884.498174374
transformer,2.12712117618418,8.390676728656143,3.0687871722508153,0.3801449360174782,357280,4357270,78.03045060000295,19684.622966920837
